priority,problem summary,assignment group,current status,title,business impact description,reported by,environment,reported date,processed_problem_summary,keyWords
Critical,"Users are unable to log in due to the service being down, halting business-critical activities.",Database Admins,Open,Application Deployment Failure,"The server crash has caused a total outage of essential services, impacting thousands of users and leading to significant operational and financial losses.",User5,Production,2024-01-22,"['user', 'unable', 'log', 'due', 'service', 'halting', 'business', 'critical', 'activity']",user unable log due service
Critical,"Users are unable to log in due to the service being down, halting business-critical activities.",Security Team,Resolved,Application Deployment Failure,"Failed backup has left the system exposed, without a recent recovery point, heightening risk of data loss.",User3,Development,2024-01-24,"['user', 'unable', 'log', 'due', 'service', 'halting', 'business', 'critical', 'activity']",user unable log due service
Medium,"Several unauthorized access attempts have been flagged on the server, indicating a potential security threat that needs immediate investigation.",Network Team,Pending,Unauthorized Access Detected,"The ongoing memory leak is threatening to crash the server, which would cause prolonged downtime and disrupt all services relying on this server.",User2,Staging,2024-01-26,"['several', 'unauthorized', 'access', 'attempt', 'flagged', 'server', 'indicating', 'potential', 'security', 'threat', 'need', 'immediate', 'investigation']",several unauthorized access attempt flagged
Critical,"Users are experiencing a significant increase in network latency, particularly during peak business hours, resulting in slow application performance.",Network Team,Closed,High Latency in Network,"Slow APIs are causing delays, which could harm service reliability and lead to contractual disputes.",User3,Production,2024-01-28,"['user', 'experiencing', 'significant', 'increase', 'network', 'latency', 'particularly', 'peak', 'business', 'hour', 'resulting', 'slow', 'application', 'performance']",user experiencing significant increase network
High,"The production database server is unreachable due to a network timeout issue, causing disruptions in data retrieval for all dependent applications.",Security Team,Pending,High Latency in Network,"The server crash has caused a total outage of essential services, impacting thousands of users and leading to significant operational and financial losses.",User2,Production,2024-01-31,"['production', 'database', 'server', 'unreachable', 'due', 'network', 'timeout', 'issue', 'causing', 'disruption', 'data', 'retrieval', 'dependent', 'application']",production database server unreachable due
Low,"Production database is showing signs of data corruption, potentially impacting critical business operations.",IT Support,In Progress,Application Deployment Failure,"The login service downtime is preventing customers from accessing their accounts, leading to frustration and potential loss of business.",User2,Staging,2024-02-02,"['production', 'database', 'showing', 'sign', 'data', 'corruption', 'potentially', 'impacting', 'critical', 'business', 'operation']",production database showing sign data
High,"Memory usage on the application server is increasing uncontrollably due to a leak, risking a complete system hang.",Database Admins,Resolved,Server Crash,"Blocked feature release due to deployment issues, impacting product delivery schedules and customer expectations.",User2,Production,2024-02-04,"['memory', 'usage', 'application', 'server', 'increasing', 'uncontrollably', 'due', 'leak', 'risking', 'complete', 'system', 'hang']",memory usage application server increasing
Critical,"The production database server is unreachable due to a network timeout issue, causing disruptions in data retrieval for all dependent applications.",Development Team,Pending,Unauthorized Access Detected,"Failed backup has left the system exposed, without a recent recovery point, heightening risk of data loss.",User4,Staging,2024-02-06,"['production', 'database', 'server', 'unreachable', 'due', 'network', 'timeout', 'issue', 'causing', 'disruption', 'data', 'retrieval', 'dependent', 'application']",production database server unreachable due
Low,"Failed deployment to production due to script errors, blocking new features from being released.",Database Admins,In Progress,API Response Delay,"The deployment failure is delaying the release of important new features, which could impact customer satisfaction and competitive advantage.",User3,Development,2024-02-08,"['failed', 'deployment', 'production', 'due', 'script', 'error', 'blocking', 'new', 'feature', 'released']",failed deployment production due script
Medium,"Backup did not complete successfully, leaving the system at risk without a recent recovery point.",Development Team,Closed,Unauthorized Access Detected,"Blocked feature release due to deployment issues, impacting product delivery schedules and customer expectations.",User5,Production,2024-02-10,"['backup', 'complete', 'successfully', 'leaving', 'system', 'risk', 'without', 'recent', 'recovery', 'point']",backup complete successfully leaving system
Medium,"Users are experiencing a significant increase in network latency, particularly during peak business hours, resulting in slow application performance.",IT Support,Open,Memory Leak in Application,"Memory leak may cause server crash, leading to downtime and service interruption.",User2,Production,2024-02-13,"['user', 'experiencing', 'significant', 'increase', 'network', 'latency', 'particularly', 'peak', 'business', 'hour', 'resulting', 'slow', 'application', 'performance']",user experiencing significant increase network
Critical,A sudden server crash due to hardware failure has taken down all key production systems.,Database Admins,In Progress,Application Deployment Failure,"Failed backup has left the system exposed, without a recent recovery point, heightening risk of data loss.",User5,Development,2024-02-15,"['sudden', 'server', 'crash', 'due', 'hardware', 'failure', 'taken', 'key', 'production', 'system']",sudden server crash due hardware
Low,"Due to misconfigurations in the deployment script, the latest release to production has failed, preventing new features from being deployed.",IT Support,Open,Login Service Down,"The deployment failure is delaying the release of important new features, which could impact customer satisfaction and competitive advantage.",User5,Staging,2024-02-17,"['due', 'misconfigurations', 'deployment', 'script', 'latest', 'release', 'production', 'failed', 'preventing', 'new', 'feature', 'deployed']",due misconfigurations deployment script latest
High,"Failed deployment to production due to script errors, blocking new features from being released.",Database Admins,Open,Database Connection Failure,"The server crash has caused a total outage of essential services, impacting thousands of users and leading to significant operational and financial losses.",User1,Staging,2024-02-19,"['failed', 'deployment', 'production', 'due', 'script', 'error', 'blocking', 'new', 'feature', 'released']",failed deployment production due script
High,A sudden server crash due to hardware failure has taken down all key production systems.,Security Team,Resolved,API Response Delay,"The failed backup process has left the system vulnerable to data loss, especially if a system failure or security incident occurs in the near future.",User2,Staging,2024-02-21,"['sudden', 'server', 'crash', 'due', 'hardware', 'failure', 'taken', 'key', 'production', 'system']",sudden server crash due hardware
Critical,"Network issues are causing the production database to be unreachable, disrupting all connected services.",Security Team,Open,Data Corruption Issue,"The failed backup process has left the system vulnerable to data loss, especially if a system failure or security incident occurs in the near future.",User1,Production,2024-02-23,"['network', 'issue', 'causing', 'production', 'database', 'unreachable', 'disrupting', 'connected', 'service']",network issue causing production database
Low,"Slow API response times are leading to timeouts, affecting the performance and reliability of services.",Development Team,Open,High Latency in Network,"The production database server's downtime is severely affecting business operations that depend on timely data access, potentially leading to revenue losses and customer dissatisfaction.",User4,Development,2024-02-25,"['slow', 'api', 'response', 'time', 'leading', 'timeouts', 'affecting', 'performance', 'reliability', 'service']",slow api response time leading
Low,"The main login service has gone down, preventing all users from accessing their accounts and halting critical business operations.",Security Team,Closed,Backup Process Failed,"The increased API response times are causing delays in service delivery, negatively impacting the user experience and possibly leading to contract breaches.",User5,Development,2024-02-28,"['main', 'login', 'service', 'gone', 'preventing', 'user', 'accessing', 'account', 'halting', 'critical', 'business', 'operation']",main login service gone preventing
Critical,"Failed deployment to production due to script errors, blocking new features from being released.",Development Team,Closed,Unauthorized Access Detected,"Security breach risk due to unauthorized access attempts, could lead to data leaks and financial penalties.",User5,Production,2024-03-01,"['failed', 'deployment', 'production', 'due', 'script', 'error', 'blocking', 'new', 'feature', 'released']",failed deployment production due script
Critical,"Production database is showing signs of data corruption, potentially impacting critical business operations.",Security Team,Resolved,Login Service Down,"Login issues are preventing users from accessing services, potentially damaging customer trust and leading to lost revenue.",User2,Development,2024-03-03,"['production', 'database', 'showing', 'sign', 'data', 'corruption', 'potentially', 'impacting', 'critical', 'business', 'operation']",production database showing sign data
Low,A sudden server crash due to hardware failure has taken down all key production systems.,Development Team,Closed,Database Connection Failure,"Slow APIs are causing delays, which could harm service reliability and lead to contractual disputes.",User1,Development,2024-03-05,"['sudden', 'server', 'crash', 'due', 'hardware', 'failure', 'taken', 'key', 'production', 'system']",sudden server crash due hardware
Medium,"The server is encountering a memory leak issue, causing a gradual increase in memory usage and leading to potential system instability.",Development Team,Open,Unauthorized Access Detected,"The failed backup process has left the system vulnerable to data loss, especially if a system failure or security incident occurs in the near future.",User4,Staging,2024-03-07,"['server', 'encountering', 'memory', 'leak', 'issue', 'causing', 'gradual', 'increase', 'memory', 'usage', 'leading', 'potential', 'system', 'instability']",memory server encountering leak issue
Medium,"Production database is showing signs of data corruption, potentially impacting critical business operations.",Database Admins,Open,Unauthorized Access Detected,"The server crash has caused a total outage of essential services, impacting thousands of users and leading to significant operational and financial losses.",User1,Production,2024-03-09,"['production', 'database', 'showing', 'sign', 'data', 'corruption', 'potentially', 'impacting', 'critical', 'business', 'operation']",production database showing sign data
High,"The production database server is unreachable due to a network timeout issue, causing disruptions in data retrieval for all dependent applications.",Development Team,In Progress,Backup Process Failed,"Memory leak may cause server crash, leading to downtime and service interruption.",User4,Production,2024-03-12,"['production', 'database', 'server', 'unreachable', 'due', 'network', 'timeout', 'issue', 'causing', 'disruption', 'data', 'retrieval', 'dependent', 'application']",production database server unreachable due
Critical,"Due to misconfigurations in the deployment script, the latest release to production has failed, preventing new features from being deployed.",Network Team,Open,Data Corruption Issue,"The production database server's downtime is severely affecting business operations that depend on timely data access, potentially leading to revenue losses and customer dissatisfaction.",User3,Development,2024-03-14,"['due', 'misconfigurations', 'deployment', 'script', 'latest', 'release', 'production', 'failed', 'preventing', 'new', 'feature', 'deployed']",due misconfigurations deployment script latest
Critical,"Failed deployment to production due to script errors, blocking new features from being released.",Development Team,Closed,Backup Process Failed,"The data corruption in the production database is affecting the accuracy of critical business data, which could lead to incorrect business decisions and financial discrepancies.",User5,Production,2024-03-16,"['failed', 'deployment', 'production', 'due', 'script', 'error', 'blocking', 'new', 'feature', 'released']",failed deployment production due script
High,"The backup process failed to execute properly last night, leaving the system without a reliable recent backup, which is a major risk.",IT Support,Resolved,Application Deployment Failure,"Failed backup has left the system exposed, without a recent recovery point, heightening risk of data loss.",User5,Development,2024-03-18,"['backup', 'process', 'failed', 'execute', 'properly', 'last', 'night', 'leaving', 'system', 'without', 'reliable', 'recent', 'backup', 'major', 'risk']",backup process failed execute properly
High,"Users are experiencing a significant increase in network latency, particularly during peak business hours, resulting in slow application performance.",IT Support,Open,Application Deployment Failure,"The ongoing memory leak is threatening to crash the server, which would cause prolonged downtime and disrupt all services relying on this server.",User4,Development,2024-03-20,"['user', 'experiencing', 'significant', 'increase', 'network', 'latency', 'particularly', 'peak', 'business', 'hour', 'resulting', 'slow', 'application', 'performance']",user experiencing significant increase network
High,"Several unauthorized access attempts have been flagged on the server, indicating a potential security threat that needs immediate investigation.",Security Team,Open,Data Corruption Issue,"Network issues are slowing down key applications, which could delay project timelines and reduce output.",User4,Production,2024-03-22,"['several', 'unauthorized', 'access', 'attempt', 'flagged', 'server', 'indicating', 'potential', 'security', 'threat', 'need', 'immediate', 'investigation']",several unauthorized access attempt flagged
Low,"Memory usage on the application server is increasing uncontrollably due to a leak, risking a complete system hang.",Database Admins,In Progress,Backup Process Failed,"Blocked feature release due to deployment issues, impacting product delivery schedules and customer expectations.",User5,Development,2024-03-24,"['memory', 'usage', 'application', 'server', 'increasing', 'uncontrollably', 'due', 'leak', 'risking', 'complete', 'system', 'hang']",memory usage application server increasing
Medium,"Network issues are causing the production database to be unreachable, disrupting all connected services.",Development Team,Pending,Backup Process Failed,"The increased API response times are causing delays in service delivery, negatively impacting the user experience and possibly leading to contract breaches.",User4,Production,2024-03-27,"['network', 'issue', 'causing', 'production', 'database', 'unreachable', 'disrupting', 'connected', 'service']",network issue causing production database
Low,"Due to misconfigurations in the deployment script, the latest release to production has failed, preventing new features from being deployed.",Network Team,Open,Memory Leak in Application,"The increased API response times are causing delays in service delivery, negatively impacting the user experience and possibly leading to contract breaches.",User2,Production,2024-03-29,"['due', 'misconfigurations', 'deployment', 'script', 'latest', 'release', 'production', 'failed', 'preventing', 'new', 'feature', 'deployed']",due misconfigurations deployment script latest
Medium,"Memory usage on the application server is increasing uncontrollably due to a leak, risking a complete system hang.",IT Support,Resolved,Memory Leak in Application,"The detected unauthorized access attempts may indicate a breach, which could expose sensitive company data and result in severe legal and financial repercussions.",User4,Development,2024-03-31,"['memory', 'usage', 'application', 'server', 'increasing', 'uncontrollably', 'due', 'leak', 'risking', 'complete', 'system', 'hang']",memory usage application server increasing
Medium,"During peak usage hours, network latency has spiked, making applications sluggish and unresponsive.",Development Team,Closed,Login Service Down,Data corruption in the database could compromise the integrity of business decisions and cause financial errors.,User1,Staging,2024-04-02,"['peak', 'usage', 'hour', 'network', 'latency', 'spiked', 'making', 'application', 'sluggish', 'unresponsive']",peak usage hour network latency
High,"During peak usage hours, network latency has spiked, making applications sluggish and unresponsive.",Network Team,Closed,Data Corruption Issue,"The increased API response times are causing delays in service delivery, negatively impacting the user experience and possibly leading to contract breaches.",User1,Production,2024-04-04,"['peak', 'usage', 'hour', 'network', 'latency', 'spiked', 'making', 'application', 'sluggish', 'unresponsive']",peak usage hour network latency
Critical,"The production database server is unreachable due to a network timeout issue, causing disruptions in data retrieval for all dependent applications.",Network Team,Pending,Server Crash,"Login issues are preventing users from accessing services, potentially damaging customer trust and leading to lost revenue.",User2,Staging,2024-04-06,"['production', 'database', 'server', 'unreachable', 'due', 'network', 'timeout', 'issue', 'causing', 'disruption', 'data', 'retrieval', 'dependent', 'application']",production database server unreachable due
Critical,"Slow API response times are leading to timeouts, affecting the performance and reliability of services.",Development Team,Resolved,Unauthorized Access Detected,"High network latency is compromising the efficiency of critical business applications, leading to delays in project deliveries and reduced productivity.",User4,Staging,2024-04-08,"['slow', 'api', 'response', 'time', 'leading', 'timeouts', 'affecting', 'performance', 'reliability', 'service']",slow api response time leading
Medium,"Due to misconfigurations in the deployment script, the latest release to production has failed, preventing new features from being deployed.",Database Admins,Open,Unauthorized Access Detected,"Memory leak may cause server crash, leading to downtime and service interruption.",User4,Production,2024-04-11,"['due', 'misconfigurations', 'deployment', 'script', 'latest', 'release', 'production', 'failed', 'preventing', 'new', 'feature', 'deployed']",due misconfigurations deployment script latest
High,"Users are unable to log in due to the service being down, halting business-critical activities.",IT Support,Open,High Latency in Network,"The server crash has caused a total outage of essential services, impacting thousands of users and leading to significant operational and financial losses.",User5,Development,2024-04-13,"['user', 'unable', 'log', 'due', 'service', 'halting', 'business', 'critical', 'activity']",user unable log due service
Low,"During peak usage hours, network latency has spiked, making applications sluggish and unresponsive.",Database Admins,In Progress,Unauthorized Access Detected,"The failed backup process has left the system vulnerable to data loss, especially if a system failure or security incident occurs in the near future.",User2,Production,2024-04-15,"['peak', 'usage', 'hour', 'network', 'latency', 'spiked', 'making', 'application', 'sluggish', 'unresponsive']",peak usage hour network latency
Medium,A sudden server crash due to hardware failure has taken down all key production systems.,Development Team,Pending,Data Corruption Issue,"High network latency is compromising the efficiency of critical business applications, leading to delays in project deliveries and reduced productivity.",User1,Staging,2024-04-17,"['sudden', 'server', 'crash', 'due', 'hardware', 'failure', 'taken', 'key', 'production', 'system']",sudden server crash due hardware
Critical,"The backup process failed to execute properly last night, leaving the system without a reliable recent backup, which is a major risk.",Network Team,Closed,Login Service Down,"The deployment failure is delaying the release of important new features, which could impact customer satisfaction and competitive advantage.",User4,Production,2024-04-19,"['backup', 'process', 'failed', 'execute', 'properly', 'last', 'night', 'leaving', 'system', 'without', 'reliable', 'recent', 'backup', 'major', 'risk']",backup process failed execute properly
High,"Due to misconfigurations in the deployment script, the latest release to production has failed, preventing new features from being deployed.",Security Team,Pending,Database Connection Failure,"The ongoing memory leak is threatening to crash the server, which would cause prolonged downtime and disrupt all services relying on this server.",User4,Production,2024-04-21,"['due', 'misconfigurations', 'deployment', 'script', 'latest', 'release', 'production', 'failed', 'preventing', 'new', 'feature', 'deployed']",due misconfigurations deployment script latest
Low,"Due to misconfigurations in the deployment script, the latest release to production has failed, preventing new features from being deployed.",IT Support,Closed,Backup Process Failed,"Blocked feature release due to deployment issues, impacting product delivery schedules and customer expectations.",User2,Development,2024-04-24,"['due', 'misconfigurations', 'deployment', 'script', 'latest', 'release', 'production', 'failed', 'preventing', 'new', 'feature', 'deployed']",due misconfigurations deployment script latest
High,A sudden server crash due to hardware failure has taken down all key production systems.,Security Team,Closed,Data Corruption Issue,"Downtime of the database server is disrupting critical operations, risking customer satisfaction and revenue.",User3,Staging,2024-04-26,"['sudden', 'server', 'crash', 'due', 'hardware', 'failure', 'taken', 'key', 'production', 'system']",sudden server crash due hardware
High,"The main login service has gone down, preventing all users from accessing their accounts and halting critical business operations.",Security Team,Pending,Server Crash,"The data corruption in the production database is affecting the accuracy of critical business data, which could lead to incorrect business decisions and financial discrepancies.",User1,Development,2024-04-28,"['main', 'login', 'service', 'gone', 'preventing', 'user', 'accessing', 'account', 'halting', 'critical', 'business', 'operation']",main login service gone preventing
Critical,"Multiple attempts at unauthorized access detected on our server, raising serious security concerns.",IT Support,Open,Memory Leak in Application,"The increased API response times are causing delays in service delivery, negatively impacting the user experience and possibly leading to contract breaches.",User2,Development,2024-04-30,"['multiple', 'attempt', 'unauthorized', 'access', 'detected', 'server', 'raising', 'serious', 'security', 'concern']",multiple attempt unauthorized access detected
Critical,"There is evidence of data corruption in the production database, which is affecting the accuracy and reliability of critical business data.",Network Team,Pending,Backup Process Failed,"The production database server's downtime is severely affecting business operations that depend on timely data access, potentially leading to revenue losses and customer dissatisfaction.",User1,Development,2024-05-02,"['evidence', 'data', 'corruption', 'production', 'database', 'affecting', 'accuracy', 'reliability', 'critical', 'business', 'data']",data evidence corruption production database
Critical,"Memory usage on the application server is increasing uncontrollably due to a leak, risking a complete system hang.",IT Support,Resolved,Data Corruption Issue,"The deployment failure is delaying the release of important new features, which could impact customer satisfaction and competitive advantage.",User3,Development,2024-05-04,"['memory', 'usage', 'application', 'server', 'increasing', 'uncontrollably', 'due', 'leak', 'risking', 'complete', 'system', 'hang']",memory usage application server increasing
High,"Slow API response times are leading to timeouts, affecting the performance and reliability of services.",Development Team,In Progress,Database Connection Failure,"Memory leak may cause server crash, leading to downtime and service interruption.",User1,Production,2024-05-06,"['slow', 'api', 'response', 'time', 'leading', 'timeouts', 'affecting', 'performance', 'reliability', 'service']",slow api response time leading
High,"The server is encountering a memory leak issue, causing a gradual increase in memory usage and leading to potential system instability.",Network Team,Open,Backup Process Failed,"The ongoing memory leak is threatening to crash the server, which would cause prolonged downtime and disrupt all services relying on this server.",User3,Staging,2024-05-09,"['server', 'encountering', 'memory', 'leak', 'issue', 'causing', 'gradual', 'increase', 'memory', 'usage', 'leading', 'potential', 'system', 'instability']",memory server encountering leak issue
High,"Network issues are causing the production database to be unreachable, disrupting all connected services.",Network Team,In Progress,Application Deployment Failure,"High network latency is compromising the efficiency of critical business applications, leading to delays in project deliveries and reduced productivity.",User5,Production,2024-05-11,"['network', 'issue', 'causing', 'production', 'database', 'unreachable', 'disrupting', 'connected', 'service']",network issue causing production database
High,"Several unauthorized access attempts have been flagged on the server, indicating a potential security threat that needs immediate investigation.",Development Team,Resolved,Login Service Down,"The login service downtime is preventing customers from accessing their accounts, leading to frustration and potential loss of business.",User2,Staging,2024-05-13,"['several', 'unauthorized', 'access', 'attempt', 'flagged', 'server', 'indicating', 'potential', 'security', 'threat', 'need', 'immediate', 'investigation']",several unauthorized access attempt flagged
Critical,"Memory usage on the application server is increasing uncontrollably due to a leak, risking a complete system hang.",Database Admins,Closed,Memory Leak in Application,"The ongoing memory leak is threatening to crash the server, which would cause prolonged downtime and disrupt all services relying on this server.",User3,Staging,2024-05-15,"['memory', 'usage', 'application', 'server', 'increasing', 'uncontrollably', 'due', 'leak', 'risking', 'complete', 'system', 'hang']",memory usage application server increasing
Medium,"Users are unable to log in due to the service being down, halting business-critical activities.",Development Team,Pending,Server Crash,"Failed backup has left the system exposed, without a recent recovery point, heightening risk of data loss.",User5,Production,2024-05-17,"['user', 'unable', 'log', 'due', 'service', 'halting', 'business', 'critical', 'activity']",user unable log due service
High,"Network issues are causing the production database to be unreachable, disrupting all connected services.",Development Team,Resolved,API Response Delay,"The login service downtime is preventing customers from accessing their accounts, leading to frustration and potential loss of business.",User2,Development,2024-05-19,"['network', 'issue', 'causing', 'production', 'database', 'unreachable', 'disrupting', 'connected', 'service']",network issue causing production database
Low,"Multiple attempts at unauthorized access detected on our server, raising serious security concerns.",Development Team,In Progress,Server Crash,"Login issues are preventing users from accessing services, potentially damaging customer trust and leading to lost revenue.",User4,Development,2024-05-22,"['multiple', 'attempt', 'unauthorized', 'access', 'detected', 'server', 'raising', 'serious', 'security', 'concern']",multiple attempt unauthorized access detected
Medium,"The main login service has gone down, preventing all users from accessing their accounts and halting critical business operations.",Security Team,Pending,Memory Leak in Application,"Blocked feature release due to deployment issues, impacting product delivery schedules and customer expectations.",User2,Development,2024-05-24,"['main', 'login', 'service', 'gone', 'preventing', 'user', 'accessing', 'account', 'halting', 'critical', 'business', 'operation']",main login service gone preventing
Critical,"Unexpected hardware failure has led to a complete crash of the main production server, disrupting all hosted services.",Network Team,Open,Backup Process Failed,"The detected unauthorized access attempts may indicate a breach, which could expose sensitive company data and result in severe legal and financial repercussions.",User4,Development,2024-05-26,"['unexpected', 'hardware', 'failure', 'led', 'complete', 'crash', 'main', 'production', 'server', 'disrupting', 'hosted', 'service']",unexpected hardware failure led complete
Low,"Users are experiencing a significant increase in network latency, particularly during peak business hours, resulting in slow application performance.",Development Team,Closed,Backup Process Failed,"The detected unauthorized access attempts may indicate a breach, which could expose sensitive company data and result in severe legal and financial repercussions.",User2,Staging,2024-05-28,"['user', 'experiencing', 'significant', 'increase', 'network', 'latency', 'particularly', 'peak', 'business', 'hour', 'resulting', 'slow', 'application', 'performance']",user experiencing significant increase network
Critical,A sudden server crash due to hardware failure has taken down all key production systems.,Development Team,Pending,Unauthorized Access Detected,"The failed backup process has left the system vulnerable to data loss, especially if a system failure or security incident occurs in the near future.",User1,Production,2024-05-30,"['sudden', 'server', 'crash', 'due', 'hardware', 'failure', 'taken', 'key', 'production', 'system']",sudden server crash due hardware
Medium,A sudden server crash due to hardware failure has taken down all key production systems.,Database Admins,Closed,High Latency in Network,"High network latency is compromising the efficiency of critical business applications, leading to delays in project deliveries and reduced productivity.",User3,Staging,2024-06-01,"['sudden', 'server', 'crash', 'due', 'hardware', 'failure', 'taken', 'key', 'production', 'system']",sudden server crash due hardware
Critical,"The backup process failed to execute properly last night, leaving the system without a reliable recent backup, which is a major risk.",Development Team,Resolved,Server Crash,"Memory leak may cause server crash, leading to downtime and service interruption.",User3,Production,2024-06-03,"['backup', 'process', 'failed', 'execute', 'properly', 'last', 'night', 'leaving', 'system', 'without', 'reliable', 'recent', 'backup', 'major', 'risk']",backup process failed execute properly
High,"Production database is showing signs of data corruption, potentially impacting critical business operations.",IT Support,In Progress,Application Deployment Failure,"The server crash has caused a total outage of essential services, impacting thousands of users and leading to significant operational and financial losses.",User1,Development,2024-06-06,"['production', 'database', 'showing', 'sign', 'data', 'corruption', 'potentially', 'impacting', 'critical', 'business', 'operation']",production database showing sign data
Critical,"Several unauthorized access attempts have been flagged on the server, indicating a potential security threat that needs immediate investigation.",Network Team,In Progress,Login Service Down,"The server outage has halted essential services, affecting a large user base and causing operational chaos.",User5,Development,2024-06-08,"['several', 'unauthorized', 'access', 'attempt', 'flagged', 'server', 'indicating', 'potential', 'security', 'threat', 'need', 'immediate', 'investigation']",several unauthorized access attempt flagged
High,"Users are experiencing a significant increase in network latency, particularly during peak business hours, resulting in slow application performance.",Development Team,Closed,API Response Delay,"High network latency is compromising the efficiency of critical business applications, leading to delays in project deliveries and reduced productivity.",User3,Staging,2024-06-10,"['user', 'experiencing', 'significant', 'increase', 'network', 'latency', 'particularly', 'peak', 'business', 'hour', 'resulting', 'slow', 'application', 'performance']",user experiencing significant increase network
Critical,"Slow API response times are leading to timeouts, affecting the performance and reliability of services.",Database Admins,In Progress,Backup Process Failed,"Slow APIs are causing delays, which could harm service reliability and lead to contractual disputes.",User1,Production,2024-06-12,"['slow', 'api', 'response', 'time', 'leading', 'timeouts', 'affecting', 'performance', 'reliability', 'service']",slow api response time leading
Medium,"The main login service has gone down, preventing all users from accessing their accounts and halting critical business operations.",Development Team,Resolved,Login Service Down,"Failed backup has left the system exposed, without a recent recovery point, heightening risk of data loss.",User4,Staging,2024-06-14,"['main', 'login', 'service', 'gone', 'preventing', 'user', 'accessing', 'account', 'halting', 'critical', 'business', 'operation']",main login service gone preventing
Low,"Due to misconfigurations in the deployment script, the latest release to production has failed, preventing new features from being deployed.",Security Team,Closed,Application Deployment Failure,"The increased API response times are causing delays in service delivery, negatively impacting the user experience and possibly leading to contract breaches.",User3,Production,2024-06-16,"['due', 'misconfigurations', 'deployment', 'script', 'latest', 'release', 'production', 'failed', 'preventing', 'new', 'feature', 'deployed']",due misconfigurations deployment script latest
